2theta, I
160.24552263982693,26900.38733699739
135.18372448287252,42882.43669995483
118.52821630143552,8550.26146787722
165.95891167286584,4711.097585896139
128.4955170721603,3678.440890717286
120.43522088984767,820.214079977698
105.94919100847936,1666.332098675726
99.14278056340999,2238.4601547072534
92.46480862733866,2315.2275231299027
104.22985110733639,8777.456722948598
90.80407962567679,9808.86671795733
118.52821630143549,17101.575310351775
90.80407962567678,19620.674268562303
77.42333957947271,23811.58403376657
128.49551707216034,735.6903680712674
120.4352208898477,820.547921146357
112.99646559692042,702.5426480443805
85.82036157982836,1288.125768292277
72.26212003011906,3239.263202382906
65.1305350321281,3082.200303177834
57.55825055359985,1164.077994373192
104.22985110733637,4388.945962469657
63.286804238661816,24226.70220301289
47.05438953469098,40594.20114937126
49.282388007561146,1791.0277581005234
39.80560125597135,4513.964208300094
27.85774640642678,5088.745217585722
24.06508266465309,49233.71521010605
