h,k,l,mag(G),S,I,d,2theta
-5,3,4,10.987229817279424,-1.2736326711132474e-14j,1.6221401809270654e-28,0.05204792870781984,-4
-5,4,-5,12.623365999454444,-1.2736326711132473e-14j,1.6221401809270652e-28,0.039430249021075635,-4
-5,4,-4,11.73115125321441,1.592040838891559e-14j,2.5345940326985393e-28,0.04565607781387705,-4
-5,4,-3,10.987229817279424,-1.2736326711132473e-14j,1.6221401809270652e-28,0.05204792870781984,-4
-5,4,-2,10.423401419495589,1.592040838891559e-14j,2.5345940326985393e-28,0.057831031897577594,-4
-5,4,-1,10.069962463111755,-1.2736326711132473e-14j,1.6221401809270652e-28,0.06196181989026171,-4
-5,4,0,9.949359759669237,1.592040838891559e-14j,2.5345940326985393e-28,0.0634730837900242,-4
-5,4,1,10.069962463111755,-1.2736326711132473e-14j,1.6221401809270652e-28,0.06196181989026171,-4
-5,4,2,10.423401419495589,1.592040838891559e-14j,2.5345940326985393e-28,0.057831031897577594,-4
-5,4,3,10.987229817279424,-1.2736326711132473e-14j,1.6221401809270652e-28,0.05204792870781984,-4
-5,4,4,11.73115125321441,1.592040838891559e-14j,2.5345940326985393e-28,0.04565607781387705,-4
-4,-5,-5,12.623365999454444,1.2736326711132471e-14j,1.6221401809270647e-28,0.039430249021075635,-4
-4,-5,-4,11.73115125321441,1.5920408388915588e-14j,2.5345940326985384e-28,0.04565607781387705,-4
-4,-5,-3,10.987229817279424,1.2736326711132473e-14j,1.6221401809270652e-28,0.05204792870781984,-4
-4,-5,-2,10.423401419495589,1.592040838891559e-14j,2.5345940326985393e-28,0.057831031897577594,-4
-4,-5,-1,10.069962463111755,1.2736326711132473e-14j,1.6221401809270652e-28,0.06196181989026171,-4
-4,-5,0,9.949359759669237,1.592040838891559e-14j,2.5345940326985393e-28,0.0634730837900242,-4
-4,-5,1,10.069962463111755,1.2736326711132471e-14j,1.6221401809270647e-28,0.06196181989026171,-4
-4,-5,2,10.423401419495589,1.592040838891559e-14j,2.5345940326985393e-28,0.057831031897577594,-4
-4,-5,3,10.987229817279424,1.2736326711132473e-14j,1.6221401809270652e-28,0.05204792870781984,-4
-4,-5,4,11.73115125321441,1.592040838891559e-14j,2.5345940326985393e-28,0.04565607781387705,-4
-4,-4,-5,11.73115125321441,1.5920408388915588e-14j,2.5345940326985384e-28,0.04565607781387705,-4
-4,-4,-4,10.765242695610976,(52-3.8208980133397417e-14j),2704.0,0.054216592403979004,-4
-4,-4,-3,9.949359759669237,9.552245033349356e-15j,9.124538517714744e-29,0.0634730837900242,-4
