h,k,l,mag(G),S,I,d,2theta
-7,-6,1,14.409616815837545,-7.184741305871862e-15j,5.162050763230131e-29,0.030260423667337118,-4
-7,-6,2,14.658792921749422,-6.339979943820017e-15j,4.019534568804007e-29,0.029240409386415644,-4
-7,-6,3,15.06493052849904,-7.184741305871862e-15j,5.162050763230131e-29,0.027685068461606302,-4
-7,-6,4,15.615787604107016,-6.339979943820018e-15j,4.019534568804008e-29,0.025766301340504876,-4
-7,-6,5,16.296695429656,-7.184741305871862e-15j,5.162050763230131e-29,0.023658149412645386,-4
-7,-6,6,17.092118362557287,-6.339979943820018e-15j,4.019534568804008e-29,0.021507408556950346,-4
-7,-5,-7,17.232796606528392,(13.796-1.605046587898504e-14j),190.329616,0.021157694596674735,-4
-7,-5,-6,16.296695429656005,5.068568172311063e-15j,2.5690383317364714e-29,0.02365814941264538,-4
-7,-5,-5,15.460402767530793,(13.796-1.4360943154881352e-14j),190.329616,0.02628683268071709,-4
-7,-5,-4,14.74091565350963,1.5632354926390304e-14j,2.443705205446392e-28,0.0289155159487888,-4
-7,-5,-3,14.156055369904616,(13.796-1.2671420430777662e-14j),190.329616,0.0313541739203734,-4
-7,-5,-2,13.72304564337064,1.6895227241036885e-15j,2.8544870352627483e-30,0.03336405686398708,-4
-7,-5,-1,13.45655336951372,(13.796-1.0981897706673975e-14j),190.329616,0.034698619138546556,-4
-7,-5,0,13.366541968864526,7.888609052210118e-31j,6.223015277861142e-61,0.035167519397175565,-4
-7,-5,1,13.45655336951372,(13.796-9.292374982570285e-15j),190.329616,0.034698619138546556,-4
-7,-5,2,13.72304564337064,-1.6895227241036878e-15j,2.854487035262746e-30,0.03336405686398708,-4
-7,-5,3,14.156055369904616,(13.796-7.602852258466598e-15j),190.329616,0.0313541739203734,-4
-7,-5,4,14.74091565350963,-3.3790454482073763e-15j,1.1417948141050989e-29,0.0289155159487888,-4
-7,-5,5,15.460402767530793,(13.796-5.913329534362909e-15j),190.329616,0.02628683268071709,-4
-7,-5,6,16.296695429656005,-5.068568172311065e-15j,2.5690383317364726e-29,0.02365814941264538,-4
-7,-4,-7,16.590353204545945,2.7885664404573228e-14j,7.776102792844824e-28,0.02282803890693853,-4
-7,-4,-6,15.615787604107016,5.9133295343629075e-15j,3.496746618196864e-29,0.025766301340504876,-4
