h,k,l,mag(G),S,I,d,2theta
-7,-5,-2,18.851843234423878,(45.647872320239706-3.9131764507408036e-14j),2083.7282473649066,0.017679591619982664,-4
-7,-5,-1,18.485753176830666,-4.475027172896258e-14j,2.0025868198159873e-27,0.01838677528478197,-4
-7,-5,0,18.362101266136246,(45.647872320239706-3.354151243492117e-14j),2083.7282473649066,0.01863524522106281,-4
-7,-5,1,18.485753176830666,1.1183329659880491e-13j,1.2506686228156271e-26,0.01838677528478197,-4
-7,-5,2,18.851843234423878,(45.647872320239706-2.7951260362434312e-14j),2083.7282473649066,0.017679591619982664,-4
-7,-5,3,19.446684328430052,2.5156134326190878e-14j,6.32831094237359e-28,0.016614555980224672,-4
-7,-5,4,20.250128014845885,(45.647872320239706-2.2361008289947448e-14j),2083.7282473649066,0.015322312737318308,-4
-7,-5,5,21.23851343854863,1.9565882253704018e-14j,3.8282374836580983e-28,0.013929375215743917,-4
-7,-5,6,22.38735886063608,(45.647872320239706-1.6770756217460584e-14j),2083.7282473649066,0.012536437694169525,-4
-7,-4,-7,22.79076714773664,(45.647872320239706-5.0312268652381756e-14j),2083.7282473649066,0.012096562687356559,-4
-7,-4,-6,21.451971198310336,-3.3569767583988856e-14j,1.126929295643029e-27,0.01365354600355097,-4
-7,-4,-5,20.250128014845885,(45.647872320239706-4.4722016579894896e-14j),2083.7282473649066,0.015322312737318308,-4
-7,-4,-4,19.210958231069096,1.2301380074377865e-13j,1.5132395173430076e-26,0.017024791930353677,-4
-7,-4,-3,18.362101266136246,(45.647872320239706-3.9131764507408036e-14j),2083.7282473649066,0.01863524522106281,-4
-7,-4,-2,17.73091156352455,-4.475027172896258e-14j,2.0025868198159873e-27,0.01998562530954562,-4
-7,-4,-1,17.341173606562517,(45.647872320239706-3.354151243492117e-14j),2083.7282473649066,0.020894062823615875,-4
-7,-4,0,17.20929965007518,1.1183329659880491e-13j,1.2506686228156271e-26,0.021215509943979197,-4
-7,-4,1,17.341173606562517,(45.647872320239706-2.7951260362434312e-14j),2083.7282473649066,0.020894062823615875,-4
-7,-4,2,17.73091156352455,2.5156134326190878e-14j,6.32831094237359e-28,0.01998562530954562,-4
-7,-4,3,18.362101266136246,(45.647872320239706-2.2361008289947448e-14j),2083.7282473649066,0.01863524522106281,-4
-7,-4,4,19.210958231069096,1.9565882253704018e-14j,3.8282374836580983e-28,0.017024791930353677,-4
-7,-4,5,20.250128014845885,(45.647872320239706-1.6770756217460584e-14j),2083.7282473649066,0.015322312737318308,-4
-7,-4,6,21.451971198310336,1.3975630181217156e-14j,1.9531823896214787e-28,0.01365354600355097,-4
-7,-3,-7,22.07996634812455,-3.3569767583988856e-14j,1.126929295643029e-27,0.01288792660148269,-4
-7,-3,-6,20.695238946315577,(45.647872320239706-4.4722016579894896e-14j),2083.7282473649066,0.014670299429347318,-4
-7,-3,-5,19.446684328430052,1.2301380074377865e-13j,1.5132395173430076e-26,0.016614555980224672,-4
-7,-3,-4,18.362101266136246,(45.647872320239706-3.9131764507408036e-14j),2083.7282473649066,0.01863524522106281,-4
-7,-3,-3,17.472052245223033,-4.475027172896258e-14j,2.0025868198159873e-27,0.020582211139681308,-4
-7,-3,-2,16.80747070875001,(45.647872320239706-3.354151243492117e-14j),2083.7282473649066,0.022242066876752384,-4
-7,-3,-1,16.395796681006427,1.1183329659880491e-13j,1.2506686228156271e-26,0.023373019429807587,-4
-7,-3,0,16.25625544822788,(45.647872320239706-2.7951260362434312e-14j),2083.7282473649066,0.02377600252342496,-4
-7,-3,1,16.395796681006427,2.5156134326190878e-14j,6.32831094237359e-28,0.023373019429807587,-4
-7,-3,2,16.80747070875001,(45.647872320239706-2.2361008289947448e-14j),2083.7282473649066,0.022242066876752384,-4
-7,-3,3,17.472052245223033,1.9565882253704018e-14j,3.8282374836580983e-28,0.020582211139681308,-4
-7,-3,4,18.362101266136246,(45.647872320239706-1.6770756217460584e-14j),2083.7282473649066,0.01863524522106281,-4
-7,-3,5,19.446684328430052,1.3975630181217156e-14j,1.9531823896214787e-28,0.016614555980224672,-4
-7,-3,6,20.695238946315577,(45.647872320239706-1.1180504144973724e-14j),2083.7282473649066,0.014670299429347318,-4
-7,-2,-7,21.55790750281666,(45.647872320239706-4.4722016579894896e-14j),2083.7282473649066,0.013519687709398506,-4
-7,-2,-6,20.13731305340371,1.2301380074377865e-13j,1.5132395173430076e-26,0.015494473554591548,-4
